"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"73051";"1050010";"1013400";"PV24  ";"2024JJ00";"   112.1";"      59";"    43.0";"    41.1";"    66.4";"    63.1";"       4";"       4";"       7";"      10";"      12";"      13";"      13";"      14";"      14";"      10"
"73062";"1050010";"1013400";"PV25  ";"2021JJ00";"   488.7";"      53";"    34.9";"    33.4";"    53.8";"    51.0";"       6";"       4";"       7";"      10";"      11";"      13";"      13";"      13";"      13";"       9"
"73063";"1050010";"1013400";"PV25  ";"2022JJ00";"   497.0";"      53";"    36.7";"    35.2";"    56.5";"    53.7";"       6";"       4";"       7";"       9";"      11";"      12";"      13";"      14";"      13";"       9"
"73064";"1050010";"1013400";"PV25  ";"2023JJ00";"   501.1";"      53";"    39.6";"    38.0";"    60.9";"    58.0";"       6";"       4";"       7";"      10";"      11";"      12";"      13";"      14";"      13";"       9"
"73065";"1050010";"1013400";"PV25  ";"2024JJ00";"   504.8";"      52";"    42.6";"    40.9";"    65.3";"    62.2";"       5";"       4";"       7";"      10";"      11";"      12";"      13";"      14";"      14";"      10"
"73076";"1050010";"1013400";"PV26  ";"2021JJ00";"   344.1";"      57";"    38.0";"    35.6";"    57.8";"    53.0";"       7";"       4";"       6";"       8";"      10";"      11";"      12";"      13";"      16";"      15"
"73077";"1050010";"1013400";"PV26  ";"2022JJ00";"   349.5";"      57";"    40.0";"    37.5";"    60.7";"    55.8";"       7";"       4";"       6";"       8";"       9";"      10";"      11";"      13";"      15";"      15"
"73078";"1050010";"1013400";"PV26  ";"2023JJ00";"   353.2";"      57";"    42.9";"    40.4";"    65.1";"    60.0";"       7";"       4";"       6";"       8";"       9";"      10";"      11";"      13";"      15";"      15"
"73079";"1050010";"1013400";"PV26  ";"2024JJ00";"   357.7";"      56";"    45.9";"    43.3";"    69.4";"    64.1";"       6";"       4";"       6";"       8";"       9";"      10";"      11";"      13";"      16";"      16"
"73090";"1050010";"1013400";"PV27  ";"2021JJ00";"   723.4";"      53";"    38.9";"    34.9";"    57.5";"    50.0";"       6";"       4";"       7";"       9";"      10";"      11";"      11";"      12";"      14";"      16"
